Method	State	Epigenome	Assemblies	LenElements1	LenElements2	OverlapCount	DebugCheck	ExpectedOverlap	Enrichment	EnrichPValue	DepletePValue
normalApproximate	11_BivFlnk	E053	haqer.hg38	6201	1581	20	1.000000	4.648216	4.302726	1.719757e-12	9.921016e-01
normalApproximate	11_BivFlnk	E054	haqer.hg38	4657	1581	13	1.000000	3.305188	3.933211	1.486483e-07	9.830978e-01
normalApproximate	11_BivFlnk	E055	haqer.hg38	11427	1581	24	1.000000	8.176020	2.935414	3.296845e-08	9.988886e-01
normalApproximate	11_BivFlnk	E056	haqer.hg38	12836	1581	25	1.000000	8.666712	2.884600	2.972438e-08	9.991508e-01
normalApproximate	11_BivFlnk	E057	haqer.hg38	8114	1581	19	1.000000	5.625866	3.377258	2.145952e-08	9.954385e-01
normalApproximate	11_BivFlnk	E058	haqer.hg38	7764	1581	22	1.000000	5.861025	3.753610	3.566605e-11	9.959987e-01
normalApproximate	11_BivFlnk	E059	haqer.hg38	7808	1581	18	1.000000	5.148780	3.495974	1.937227e-08	9.940407e-01
normalApproximate	11_BivFlnk	E061	haqer.hg38	7187	1581	27	1.000000	5.502778	4.906613	8.516197e-20	9.951120e-01
normalApproximate	11_BivFlnk	E062	haqer.hg38	5435	1581	15	1.000000	3.593003	4.174781	2.846534e-09	9.856544e-01
normalApproximate	11_BivFlnk	E063	haqer.hg38	7516	1581	20	1.000000	5.191729	3.852281	1.150110e-10	9.941815e-01
normalApproximate	11_BivFlnk	E065	haqer.hg38	289	1581	4	1.000000	0.177083	22.588218	1.130051e-18	1.007894e+00
normalApproximate	11_BivFlnk	E066	haqer.hg38	1663	1581	8	1.000000	1.044547	7.658820	3.360885e-11	9.425289e-01
normalApproximate	11_BivFlnk	E067	haqer.hg38	1666	1581	4	1.000000	1.014188	3.944040	5.029721e-03	9.416803e-01
normalApproximate	11_BivFlnk	E068	haqer.hg38	2534	1581	7	1.000000	1.565411	4.471670	2.580476e-05	9.552144e-01
normalApproximate	11_BivFlnk	E069	haqer.hg38	3880	1581	9	1.000000	2.420787	3.717799	3.489375e-05	9.720702e-01
normalApproximate	11_BivFlnk	E070	haqer.hg38	9615	1581	22	1.000000	6.675727	3.295521	3.595615e-09	9.974564e-01
normalApproximate	11_BivFlnk	E071	haqer.hg38	5957	1581	15	1.000000	3.944817	3.802457	3.801110e-08	9.882476e-01
normalApproximate	11_BivFlnk	E072	haqer.hg38	3469	1581	14	1.000000	2.144616	6.527974	1.522444e-15	9.673736e-01
normalApproximate	11_BivFlnk	E073	haqer.hg38	2870	1581	7	1.000000	1.763743	3.968832	1.301524e-04	9.597226e-01
normalApproximate	11_BivFlnk	E074	haqer.hg38	2090	1581	7	1.000000	1.257746	5.565512	7.176277e-07	9.477011e-01
normalApproximate	11_BivFlnk	E075	haqer.hg38	6852	1581	16	1.000000	4.608800	3.471620	1.476050e-07	9.919245e-01
normalApproximate	11_BivFlnk	E076	haqer.hg38	2825	1581	2	1.000000	1.715386	1.165918	5.670163e-01	6.893189e-01
normalApproximate	11_BivFlnk	E077	haqer.hg38	6318	1581	11	1.000000	4.039833	2.722885	5.726136e-04	9.887779e-01
normalApproximate	11_BivFlnk	E078	haqer.hg38	6313	1581	16	1.000000	4.118087	3.885299	7.060683e-09	9.893467e-01
normalApproximate	11_BivFlnk	E079	haqer.hg38	2828	1581	7	1.000000	1.742105	4.018128	1.111772e-04	9.592473e-01
normalApproximate	11_BivFlnk	E080	haqer.hg38	11652	1581	33	1.000000	8.288607	3.981369	1.176804e-17	9.989553e-01
normalApproximate	11_BivFlnk	E081	haqer.hg38	4361	1581	12	1.000000	2.542976	4.718880	5.691154e-09	9.739413e-01
normalApproximate	11_BivFlnk	E082	haqer.hg38	6443	1581	19	1.000000	4.144465	4.584428	5.072602e-13	9.895053e-01
normalApproximate	11_BivFlnk	E083	haqer.hg38	1484	1581	3	1.000000	0.877067	3.420492	3.423824e-02	9.373744e-01
normalApproximate	11_BivFlnk	E084	haqer.hg38	6494	1581	19	1.000000	4.133269	4.596846	4.534167e-13	9.894396e-01
normalApproximate	11_BivFlnk	E085	haqer.hg38	7191	1581	13	1.000000	4.608229	2.821040	1.013159e-04	9.919094e-01
normalApproximate	11_BivFlnk	E086	haqer.hg38	2582	1581	11	1.000000	1.556338	7.067875	1.112812e-13	9.550090e-01
normalApproximate	11_BivFlnk	E087	haqer.hg38	122	1581	0	1.000000	0.074950	0.000000	1.408491e+00	1.403659e+00
normalApproximate	11_BivFlnk	E088	haqer.hg38	5247	1581	14	1.000000	3.137525	4.462115	1.509196e-09	9.814144e-01
normalApproximate	11_BivFlnk	E089	haqer.hg38	13769	1581	33	1.000000	9.489320	3.477594	2.591185e-14	9.994589e-01
normalApproximate	11_BivFlnk	E090	haqer.hg38	11499	1581	31	1.000000	8.059191	3.846540	8.147325e-16	9.988148e-01
normalApproximate	11_BivFlnk	E091	haqer.hg38	5778	1581	11	1.000000	3.754292	2.929980	2.117732e-04	9.868827e-01
normalApproximate	11_BivFlnk	E092	haqer.hg38	11293	1581	20	1.000000	7.539339	2.652752	5.615518e-06	9.984218e-01
normalApproximate	11_BivFlnk	E093	haqer.hg38	7567	1581	11	1.000000	5.030553	2.186638	6.879228e-03	9.918461e-01
normalApproximate	11_BivFlnk	E094	haqer.hg38	250	1581	5	1.000000	0.164961	30.310193	1.640958e-31	1.023208e+00
normalApproximate	11_BivFlnk	E095	haqer.hg38	2611	1581	14	1.000000	1.607746	8.707842	5.375176e-22	9.562080e-01
normalApproximate	11_BivFlnk	E096	haqer.hg38	1238	1581	6	1.000000	0.750832	7.991133	4.895618e-09	9.372571e-01
normalApproximate	11_BivFlnk	E097	haqer.hg38	947	1581	5	1.000000	0.595624	8.394563	4.346866e-08	9.372356e-01
normalApproximate	11_BivFlnk	E098	haqer.hg38	129	1581	1	1.000000	0.083127	12.029849	8.808606e-03	1.336210e+00
normalApproximate	11_BivFlnk	E099	haqer.hg38	2388	1581	11	1.000000	1.461091	7.528620	9.562136e-15	9.527198e-01
normalApproximate	11_BivFlnk	E100	haqer.hg38	3118	1581	12	1.000000	1.953306	6.143430	1.659347e-12	9.637055e-01
normalApproximate	11_BivFlnk	E101	haqer.hg38	4656	1581	7	1.000000	2.913707	2.402438	1.642346e-02	9.757076e-01
normalApproximate	11_BivFlnk	E102	haqer.hg38	3903	1581	10	1.000000	2.429995	4.115235	1.967309e-06	9.722167e-01
normalApproximate	11_BivFlnk	E103	haqer.hg38	2471	1581	3	1.000000	1.531017	1.959482	2.100661e-01	9.036494e-01
normalApproximate	11_BivFlnk	E104	haqer.hg38	182	1581	1	1.000000	0.109830	9.105011	3.263961e-02	1.172151e+00
normalApproximate	11_BivFlnk	E105	haqer.hg38	2428	1581	8	1.000000	1.606885	4.978576	9.425338e-07	9.561807e-01
normalApproximate	11_BivFlnk	E106	haqer.hg38	1571	1581	10	1.000000	0.930368	10.748435	2.527902e-20	9.400504e-01
normalApproximate	11_BivFlnk	E107	haqer.hg38	11765	1581	29	1.000000	7.706505	3.763055	2.178734e-14	9.985609e-01
normalApproximate	11_BivFlnk	E108	haqer.hg38	8083	1581	20	1.000000	5.245282	3.812951	1.655354e-10	9.943537e-01
normalApproximate	11_BivFlnk	E109	haqer.hg38	491	1581	4	1.000000	0.293567	13.625505	5.046075e-11	9.556914e-01
normalApproximate	11_BivFlnk	E110	haqer.hg38	3742	1581	9	1.000000	2.191719	4.106367	7.012939e-06	9.682280e-01
normalApproximate	11_BivFlnk	E111	haqer.hg38	8471	1581	22	1.000000	5.864562	3.751346	3.652236e-11	9.960061e-01
normalApproximate	11_BivFlnk	E112	haqer.hg38	5846	1581	13	1.000000	3.940784	3.298836	6.417443e-06	9.882217e-01
normalApproximate	11_BivFlnk	E113	haqer.hg38	1650	1581	7	1.000000	0.968842	7.225123	2.814424e-09	9.408444e-01
normalApproximate	11_BivFlnk	E114	haqer.hg38	2054	1581	2	1.000000	1.290983	1.549207	4.244784e-01	8.131367e-01
normalApproximate	11_BivFlnk	E115	haqer.hg38	2134	1581	5	1.000000	1.687146	2.963585	1.314387e-02	9.567131e-01
normalApproximate	11_BivFlnk	E116	haqer.hg38	2948	1581	3	1.000000	1.882947	1.593247	3.225908e-01	8.484607e-01
normalApproximate	11_BivFlnk	E117	haqer.hg38	388	1581	1	1.000000	0.242880	4.117263	2.500923e-01	9.656689e-01
normalApproximate	11_BivFlnk	E118	haqer.hg38	15762	1581	14	1.000000	10.550266	1.326981	1.800068e-01	8.895316e-01
normalApproximate	11_BivFlnk	E119	haqer.hg38	3393	1581	8	1.000000	2.302702	3.474179	2.418453e-04	9.701285e-01
normalApproximate	11_BivFlnk	E120	haqer.hg38	1233	1581	1	1.000000	0.752917	1.328167	6.217225e-01	7.571819e-01
normalApproximate	11_BivFlnk	E121	haqer.hg38	821	1581	3	1.000000	0.496042	6.047871	1.019540e-03	9.395246e-01
normalApproximate	11_BivFlnk	E122	haqer.hg38	3999	1581	9	1.000000	2.637583	3.412215	1.213128e-04	9.752906e-01
normalApproximate	11_BivFlnk	E123	haqer.hg38	1012	1581	6	1.000000	0.618399	9.702467	3.391642e-11	9.370199e-01
normalApproximate	11_BivFlnk	E124	haqer.hg38	9348	1581	19	1.000000	7.301440	2.602226	1.465270e-05	9.981978e-01
normalApproximate	11_BivFlnk	E125	haqer.hg38	4003	1581	8	1.000000	2.516883	3.178535	6.963511e-04	9.734877e-01
normalApproximate	11_BivFlnk	E126	haqer.hg38	1594	1581	2	1.000000	0.960616	2.081998	2.820055e-01	8.906246e-01
normalApproximate	11_BivFlnk	E127	haqer.hg38	5031	1581	9	1.000000	3.293045	2.733033	1.809912e-03	9.827239e-01
normalApproximate	11_BivFlnk	E128	haqer.hg38	1694	1581	4	1.000000	1.034058	3.868255	5.755636e-03	9.420927e-01
normalApproximate	11_BivFlnk	E129	haqer.hg38	3355	1581	8	1.000000	2.134474	3.747996	8.968124e-05	9.671866e-01
normalApproximate	11_BivFlnk	E001	haqer.hs1Tohg38.browser	6073	2367	5	1.000000	5.388916	0.927830	6.504610e-01	5.140418e-01
normalApproximate	11_BivFlnk	E002	haqer.hs1Tohg38.browser	1245	2367	4	1.000000	1.088338	3.675330	8.104229e-03	9.432000e-01
normalApproximate	11_BivFlnk	E003	haqer.hs1Tohg38.browser	12474	2367	32	1.000000	11.847641	2.700960	4.543015e-09	9.998475e-01
normalApproximate	11_BivFlnk	E004	haqer.hs1Tohg38.browser	944	2367	1	1.000000	0.831394	1.202799	6.495311e-01	7.189626e-01
normalApproximate	11_BivFlnk	E005	haqer.hs1Tohg38.browser	6377	2367	25	1.000000	5.963422	4.192224	9.803255e-15	9.962046e-01
normalApproximate	11_BivFlnk	E006	haqer.hs1Tohg38.browser	4947	2367	16	1.000000	4.454923	3.591532	6.206877e-08	9.911735e-01
normalApproximate	11_BivFlnk	E007	haqer.hs1Tohg38.browser	1738	2367	4	1.000000	1.520902	2.630019	4.931343e-02	9.476553e-01
normalApproximate	11_BivFlnk	E008	haqer.hs1Tohg38.browser	1932	2367	5	1.000000	1.702394	2.937041	1.392636e-02	9.569277e-01
normalApproximate	11_BivFlnk	E009	haqer.hs1Tohg38.browser	4293	2367	8	1.000000	4.003866	1.998069	3.855169e-02	9.771072e-01
normalApproximate	11_BivFlnk	E010	haqer.hs1Tohg38.browser	4721	2367	9	1.000000	4.705161	1.912793	3.857687e-02	9.795584e-01
normalApproximate	11_BivFlnk	E011	haqer.hs1Tohg38.browser	4436	2367	5	1.000000	4.009756	1.246959	4.021760e-01	7.629284e-01
normalApproximate	11_BivFlnk	E012	haqer.hs1Tohg38.browser	8540	2367	15	1.000000	7.835209	1.914435	8.221841e-03	9.957501e-01
normalApproximate	11_BivFlnk	E013	haqer.hs1Tohg38.browser	1857	2367	3	1.000000	1.655770	1.811846	2.502018e-01	8.867326e-01
normalApproximate	11_BivFlnk	E014	haqer.hs1Tohg38.browser	10634	2367	10	1.000000	9.757786	1.024823	5.331142e-01	5.940766e-01
normalApproximate	11_BivFlnk	E015	haqer.hs1Tohg38.browser	13751	2367	19	1.000000	13.003086	1.461192	6.245424e-02	9.650519e-01
normalApproximate	11_BivFlnk	E016	haqer.hs1Tohg38.browser	9412	2367	9	1.000000	8.690761	1.035582	5.259847e-01	6.080756e-01
normalApproximate	11_BivFlnk	E017	haqer.hs1Tohg38.browser	5142	2367	12	1.000000	4.916321	2.440850	1.355295e-03	9.929147e-01
normalApproximate	11_BivFlnk	E018	haqer.hs1Tohg38.browser	12932	2367	12	1.000000	11.666491	1.028587	5.195704e-01	5.968698e-01
normalApproximate	11_BivFlnk	E019	haqer.hs1Tohg38.browser	13761	2367	18	1.000000	13.036705	1.380717	1.066693e-01	9.360718e-01
normalApproximate	11_BivFlnk	E020	haqer.hs1Tohg38.browser	12107	2367	13	1.000000	11.221112	1.158530	3.503460e-01	7.530984e-01
normalApproximate	11_BivFlnk	E021	haqer.hs1Tohg38.browser	3848	2367	15	1.000000	3.407313	4.402296	5.832318e-10	9.840322e-01
normalApproximate	11_BivFlnk	E022	haqer.hs1Tohg38.browser	8685	2367	26	1.000000	9.007439	2.886503	1.578652e-08	9.992876e-01
normalApproximate	11_BivFlnk	E023	haqer.hs1Tohg38.browser	1962	2367	7	1.000000	1.828220	3.828861	2.037435e-04	9.610892e-01
normalApproximate	11_BivFlnk	E024	haqer.hs1Tohg38.browser	7046	2367	51	1.000000	6.811641	7.487183	5.220337e-64	9.976266e-01
normalApproximate	11_BivFlnk	E025	haqer.hs1Tohg38.browser	3429	2367	10	1.000000	3.159188	3.165370	1.485945e-04	9.816044e-01
normalApproximate	11_BivFlnk	E026	haqer.hs1Tohg38.browser	1913	2367	3	1.000000	1.773593	1.691481	2.879957e-01	8.679778e-01
normalApproximate	11_BivFlnk	E027	haqer.hs1Tohg38.browser	4318	2367	56	1.000000	4.120061	13.592032	1.301336e-143	9.893339e-01
normalApproximate	11_BivFlnk	E028	haqer.hs1Tohg38.browser	997	2367	1	1.000000	0.895983	1.116092	6.700818e-01	6.883380e-01
normalApproximate	11_BivFlnk	E029	haqer.hs1Tohg38.browser	5946	2367	15	1.000000	5.860923	2.559324	1.593292e-04	9.959525e-01
normalApproximate	11_BivFlnk	E030	haqer.hs1Tohg38.browser	6093	2367	17	1.000000	6.173937	2.753511	1.391141e-05	9.966206e-01
normalApproximate	11_BivFlnk	E031	haqer.hs1Tohg38.browser	3826	2367	8	1.000000	3.770615	2.121670	2.593507e-02	9.801596e-01
normalApproximate	11_BivFlnk	E032	haqer.hs1Tohg38.browser	4744	2367	7	1.000000	4.631573	1.511366	1.901697e-01	9.029790e-01
normalApproximate	11_BivFlnk	E033	haqer.hs1Tohg38.browser	4526	2367	9	1.000000	4.364516	2.062084	2.269528e-02	9.842247e-01
normalApproximate	11_BivFlnk	E034	haqer.hs1Tohg38.browser	8930	2367	26	1.000000	9.032716	2.878425	1.720852e-08	9.992989e-01
normalApproximate	11_BivFlnk	E035	haqer.hs1Tohg38.browser	4624	2367	9	1.000000	4.541104	1.981897	3.022981e-02	9.822413e-01
normalApproximate	11_BivFlnk	E036	haqer.hs1Tohg38.browser	5607	2367	19	1.000000	5.704184	3.330889	3.258011e-08	9.956138e-01
normalApproximate	11_BivFlnk	E037	haqer.hs1Tohg38.browser	1696	2367	3	1.000000	1.533254	1.956623	2.108229e-01	9.033181e-01
normalApproximate	11_BivFlnk	E038	haqer.hs1Tohg38.browser	2069	2367	7	1.000000	1.888167	3.707299	2.998847e-04	9.623339e-01
normalApproximate	11_BivFlnk	E039	haqer.hs1Tohg38.browser	4401	2367	12	1.000000	4.284862	2.800557	2.130096e-04	9.902486e-01
normalApproximate	11_BivFlnk	E040	haqer.hs1Tohg38.browser	2221	2367	6	1.000000	1.965212	3.053105	4.978430e-03	9.634419e-01
normalApproximate	11_BivFlnk	E041	haqer.hs1Tohg38.browser	5795	2367	13	1.000000	5.746636	2.262193	2.241736e-03	9.951635e-01
normalApproximate	11_BivFlnk	E042	haqer.hs1Tohg38.browser	3412	2367	3	1.000000	3.176382	0.944471	6.498753e-01	5.548603e-01
normalApproximate	11_BivFlnk	E043	haqer.hs1Tohg38.browser	5234	2367	14	1.000000	5.303097	2.639967	1.638402e-04	9.944843e-01
normalApproximate	11_BivFlnk	E044	haqer.hs1Tohg38.browser	6716	2367	20	1.000000	7.263601	2.753455	2.386060e-06	9.981495e-01
normalApproximate	11_BivFlnk	E045	haqer.hs1Tohg38.browser	3651	2367	12	1.000000	3.507642	3.421102	7.755083e-06	9.849086e-01
normalApproximate	11_BivFlnk	E046	haqer.hs1Tohg38.browser	4155	2367	13	1.000000	4.042258	3.216024	1.048555e-05	9.888544e-01
normalApproximate	11_BivFlnk	E047	haqer.hs1Tohg38.browser	2259	2367	5	1.000000	2.060814	2.426226	4.131494e-02	9.585698e-01
normalApproximate	11_BivFlnk	E048	haqer.hs1Tohg38.browser	1918	2367	5	1.000000	1.729026	2.891802	1.535992e-02	9.572897e-01
normalApproximate	11_BivFlnk	E049	haqer.hs1Tohg38.browser	4467	2367	8	1.000000	4.414838	1.812071	6.886524e-02	9.662835e-01
normalApproximate	11_BivFlnk	E050	haqer.hs1Tohg38.browser	8691	2367	26	1.000000	9.761633	2.663489	1.977448e-07	9.995278e-01
normalApproximate	11_BivFlnk	E051	haqer.hs1Tohg38.browser	10026	2367	28	1.000000	12.329877	2.270907	6.865033e-06	9.998804e-01
normalApproximate	11_BivFlnk	E052	haqer.hs1Tohg38.browser	4080	2367	10	1.000000	3.922649	2.549297	2.190195e-03	9.876880e-01
normalApproximate	11_BivFlnk	E053	haqer.hs1Tohg38.browser	6201	2367	26	1.000000	6.936287	3.748403	6.151656e-13	9.977843e-01
normalApproximate	11_BivFlnk	E054	haqer.hs1Tohg38.browser	4657	2367	16	1.000000	4.926367	3.247829	7.565654e-07	9.932218e-01
normalApproximate	11_BivFlnk	E055	haqer.hs1Tohg38.browser	11427	2367	29	1.000000	12.182652	2.380434	1.266077e-06	9.998723e-01
normalApproximate	11_BivFlnk	E056	haqer.hs1Tohg38.browser	12836	2367	28	1.000000	12.898810	2.170743	2.139044e-05	9.999072e-01
normalApproximate	11_BivFlnk	E057	haqer.hs1Tohg38.browser	8114	2367	18	1.000000	8.388292	2.145848	7.651518e-04	9.987847e-01
normalApproximate	11_BivFlnk	E058	haqer.hs1Tohg38.browser	7764	2367	23	1.000000	8.744145	2.630332	1.402447e-06	9.991786e-01
normalApproximate	11_BivFlnk	E059	haqer.hs1Tohg38.browser	7808	2367	17	1.000000	7.673148	2.215518	6.625954e-04	9.983485e-01
normalApproximate	11_BivFlnk	E061	haqer.hs1Tohg38.browser	7187	2367	33	1.000000	8.212948	4.018046	7.084926e-18	9.989020e-01
normalApproximate	11_BivFlnk	E062	haqer.hs1Tohg38.browser	5435	2367	12	1.000000	5.359246	2.239121	3.710209e-03	9.937601e-01
normalApproximate	11_BivFlnk	E063	haqer.hs1Tohg38.browser	7516	2367	19	1.000000	7.740454	2.454636	4.890254e-05	9.985668e-01
normalApproximate	11_BivFlnk	E065	haqer.hs1Tohg38.browser	289	2367	3	1.000000	0.264193	11.355325	5.459417e-07	9.612980e-01
normalApproximate	11_BivFlnk	E066	haqer.hs1Tohg38.browser	1663	2367	6	1.000000	1.558450	3.849978	5.911234e-04	9.550027e-01
normalApproximate	11_BivFlnk	E067	haqer.hs1Tohg38.browser	1666	2367	6	1.000000	1.512798	3.966160	4.309264e-04	9.539274e-01
normalApproximate	11_BivFlnk	E068	haqer.hs1Tohg38.browser	2534	2367	10	1.000000	2.333850	4.284765	9.011066e-07	9.706386e-01
normalApproximate	11_BivFlnk	E069	haqer.hs1Tohg38.browser	3880	2367	14	1.000000	3.608270	3.879976	6.792443e-08	9.857507e-01
normalApproximate	11_BivFlnk	E070	haqer.hs1Tohg38.browser	9615	2367	27	1.000000	9.947719	2.714190	6.340450e-08	9.995736e-01
normalApproximate	11_BivFlnk	E071	haqer.hs1Tohg38.browser	5957	2367	18	1.000000	5.877892	3.062322	6.666989e-07	9.960178e-01
normalApproximate	11_BivFlnk	E072	haqer.hs1Tohg38.browser	3469	2367	11	1.000000	3.197062	3.440659	1.732721e-05	9.820022e-01
normalApproximate	11_BivFlnk	E073	haqer.hs1Tohg38.browser	2870	2367	7	1.000000	2.629082	2.662526	7.599196e-03	9.740252e-01
normalApproximate	11_BivFlnk	E074	haqer.hs1Tohg38.browser	2090	2367	7	1.000000	1.874974	3.733385	2.760314e-04	9.620639e-01
normalApproximate	11_BivFlnk	E075	haqer.hs1Tohg38.browser	6852	2367	18	1.000000	6.870504	2.619895	2.184383e-05	9.976987e-01
normalApproximate	11_BivFlnk	E076	haqer.hs1Tohg38.browser	2825	2367	3	1.000000	2.554795	1.174262	5.139152e-01	7.004252e-01
